Vehicle_id,fuel_id,seller_type_id,transmission_id,owner_id,year,selling_price,km_driven
C14,D12345,IY095,MJHTY76,FRTY675,2019,1000000,10000
C13,D12345,IY095,MJHTY76,FRTY675,2009,130000,50000
C12,D12345,DX789,AQTYI90,T8754,2012,1750000,115992
C11,D12345,DX789,MJHTY76,FRTY675,2013,350000,75000
C10,D12345,IY095,MJHTY76,T8754,2013,210000,120000
C9,P456,DX789,MJHTY76,FRTY675,2012,269000,52547
C8,P456,DX789,MJHTY76,FRTY675,2018,515000,16000
C7,D12345,DX789,AQTYI90,FRTY675,2013,1150000,53000
C6,D12345,DX789,AQTYI90,FRTY675,2011,1295000,58000
C5,P456,IY095,AQTYI90,T8754,2012,1200000,60000
C4,P456,IY095,MJHTY76,S2678,2012,430000,50000
C3,D12345,IY095,MJHTY76,F4897,2002,50000,120000
C2,D12345,IY095,MJHTY76,S2678,2005,120000,50000
C1,D12345,IY095,AQTYI90,FRTY675,2019,1100000,35000
